symbol,date,calendarYear,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
OTLY,12/31/2020,2020,FY,0.711939723,-0.101989538,-0.074865433,-0.314352703,0.178029284,0.55097431,0.286605115,0.55097431,0.414505581,11955071363,12083156363,-198.0595312,28.37318854,-269.8174452,-64.25903068,36.66232639,36.66232639,28.677175,-351.9297595,-272.7082324,-64.94749315,-0.005048987,-0.015562015,0.715912367,0.343848915,-3.73055863,1.050375256,-3.967396799,0.734050132,0,0,0,0.016212137,0.230455615,-3.198903133,0.336387003,10.80477207,0.002406545,1.12443601,-0.087666181,-0.115530963,-0.279488691,11518000,169623000,-112681000,443709000,66037000,37625500,33963000,72.20026771,56.59801032,48.87584002,5.055382917,6.448989955,7.467902339,-0.18510761,0.23948727
OTLY,12/31/2019,2019,FY,0.344769954,-0.06019412,-0.066094411,-0.161670001,0.017861391,0.317319745,0.096854662,0.317319745,0.177564628,11955071363,12047093363,-335.5809505,58.58979237,-305.6234211,-124.9458766,63.65818799,63.65818799,59.0407767,-529.1936465,-307.9759021,-125.9076249,-0.002979907,-0.008003465,0.546285696,0.293777561,-4.042257852,0.984533355,-12.32331731,1.098021053,0,0,0,0.021122585,0.373629804,-1.446046476,0.277215543,6.988510007,0.009419398,0.655566635,-0.109798858,-0.162863844,-0.168792338,-1491000,57322000,-66509000,249011000,,,,87.16303107,79.54154603,76.50125125,4.187555154,4.588796902,4.771163792,-0.189695476,0.09557559
KHC,12/30/2023,2023,FY,21.71149144,2.326813366,3.240423798,2.414832926,1.143439283,40.52322738,-18.89568052,40.36348818,17.17033415,45374460000,64620460000,15.89298074,1.703245495,11.41208753,15.31368883,0.916174535,0.916174535,2.425692943,10.19732681,16.25263078,21.80913264,0.062920859,0.065301053,0.406816622,0.2230266,3.037083794,0.98656215,5.843478261,1.392644483,0.043306301,0.6882662,0.002515015,0.005518018,0.807037935,0.254778672,0.038025526,1.054110302,0.005292793,45.96914003,0.06044467,0.163779257,-29.19559902,-108000000,-23185000000,-32688000000,80495000000,2116000000,4737500000,3632500000,28.93693694,96.09416785,75.05604552,12.61363636,3.798357467,4.863032651,0.057646489,0.825590872
KHC,12/31/2022,2022,FY,21.60277325,1.927406199,2.013866232,1.266721044,0.848287113,39.86133768,-20.07504078,39.70473083,17.12153344,49910460000,68940460000,21.12165044,1.884480272,20.21484812,32.13809401,1.025318624,1.025318624,2.603000189,12.02519798,27.92242203,44.39179652,0.047344785,0.031115722,0.412301245,0.221736104,3.319379034,0.874723084,3.945711183,1.042652027,0.039270325,0.829454084,-0.005097225,0.004795167,0.811839183,0.371000405,0.034585614,0.981779207,0.005588069,41.49530995,0.042202231,0.138746991,-30.33238173,-1131000000,-24612000000,-33746000000,79091000000,2038500000,4800500000,3190000000,29.21653766,96.36333932,72.57065839,12.49292453,3.787747525,5.029580937,0.04854349,0.747145188
KHC,12/25/2021,2021,FY,21.27614379,0.826797386,4.382352941,3.642973856,2.814542484,40.40196078,-20.74019608,40.27614379,19.49509804,43146000000,61516000000,42.63438735,1.656785193,8.043624161,9.676160574,0.875207919,0.875207919,2.362184164,9.765994602,11.46830723,13.79591837,0.023455245,0.103346776,0.442512881,0.233580316,2.916335926,0.99227714,2.632633122,5.23828125,0.045403977,1.935770751,-0.008217495,0.005375931,0.80131486,0.168717375,0.034751555,0.994505495,0.007564703,27.37251786,0.045432985,0.054537616,-30.77185458,-70000000,-25386000000,-34948000000,81574000000,2010000000,4528500000,2641500000,27.42896091,99.93346774,57.3781682,13.30710271,3.652430044,6.361304507,0.020528216,0.739379085
KHC,12/26/2020,2020,FY,21.41046607,0.29108749,4.030253475,3.542927228,2.793949305,41.08176615,-24.1316435,40.96729354,24.2845462,42780540000,67669540000,120.1700562,1.633780409,8.679354839,9.873191784,0.853851865,0.853851865,2.584286424,9.963124264,13.72885778,15.61724902,0.008321541,0.101284369,0.56495619,0.283542021,3.664458186,1.342513336,4.177187948,13.65373961,0.045768473,5.5,0.139392782,0.004544587,0.798918161,0.120917022,0.022761123,0.615067079,0.005957609,16.38029302,0.026028603,0.017734383,-35.44215045,2761000000,-29513000000,-38765000000,89393000000,2104500000,4153500000,2637500000,28.75673095,92.36594544,54.81008937,12.69268056,3.951672862,6.65935787,0.007105363,0.487326247
KHC,12/28/2019,2019,FY,20.45618346,1.584766585,2.909090909,2.28009828,1.866502867,42.38247338,-26.57575758,42.27927928,25.06552007,38608020000,65573020000,19.95246512,1.545742883,10.869375,13.86782328,0.747884083,0.747884083,2.625336109,11.07465293,18.46087275,23.5535273,0.05011912,0.07210937,0.56649168,0.288260227,4.55412937,1.028190476,3.620132256,1.8375582,0.050585345,1.009302326,0.127237058,0.004484125,0.829945786,0.216216216,0.030748288,0.772635815,0.001841694,38.82734543,0.044258655,0.112160909,-36.40622441,222000000,-32449000000,-41604000000,91475000000,2213500000,4078000000,2702000000,31.36045162,86.81491384,59.01158645,11.638863,4.20434674,6.18522602,0.037483292,0.628992629
KLG,12/30/2023,2023,FY,32.19796263,1.281858809,4.917676522,3.169687237,1.037140309,3.49597857,2.214119761,3.49597857,5.931510307,1127581283,1537581283,10.25073893,0.408100356,2.671993561,4.145519421,3.758604275,3.758604275,0.556489787,6.175025231,3.643557542,5.652872363,0.097553943,0.241224295,1.663333333,0.264160932,1.646586345,0.844497608,18.3,3.836363636,0.600400176,6.154545455,0,0.009048136,0.058231869,0.355450237,0.054288817,2.272727273,0.002895404,10.04143395,0.173751672,0.06183249,-13.33715824,-130000000,190000000,-883000000,719000000,236500000,507000000,388000000,32.23307999,97.56175889,62.21590909,11.32377049,3.741219963,5.866666667,0.366666667,1.747989285
KLG,12/31/2022,2022,FY,31.05594296,-0.7341555,0.617622881,-0.209758714,-0.093226095,8.005790925,6.723932116,8.005790925,0.524396786,1458819011,1474819011,-23.15585732,0.547399254,27.524887,-81.04550061,2.123462898,2.123462898,0.553403006,50.85582797,27.82677379,-81.9343895,-0.043185618,-0.012338748,0.011644833,0.005571031,0.551724138,1.006006006,2,-2.12,0,0,0,0.009380863,0.076601671,1.339622642,0.026641651,1.044117647,0.001125704,11.49972379,0.088262022,-0.047511312,-4.308793588,4000000,577000000,-79000000,766000000,192000000,423000000,380500000,31.36397749,84.96309055,77.41879921,11.63755459,4.295983087,4.714617169,-0.091703057,0.827381595
KLG,12/31/2021,2021,FY,28.60465116,1.88372093,0.081395349,-0.790697674,-0.093023256,6.627906977,5.348837209,6.627906977,0.093023256,1462000000,1478000000,9.024691358,0.594308943,208.8571429,-21.5,2.564912281,2.564912281,0.600813008,14.07619048,211.1428571,-21.73529412,0.110807114,-0.046511628,0.014035088,0.006430868,0.152380952,0.894642857,0,0.043209877,0,0,0,0.01097561,0.088424437,10.71428571,0.030487805,1.102941176,0.000813008,16.76052981,0.048459076,0.142857143,-4.659883721,-59000000,460000000,-173000000,678000000,185000000,410000000,305000000,22.99796748,72.26380042,63.93312102,15.87096774,5.050938338,5.709090909,0.284210526,0.872093023
